ENG3034_1,Instrument and Data Systems M3,Mon,11/05/2015,09:30 - 11:00,Hunter Hall East
ENG2084_1,Dynamics 2,Mon,11/05/2015,09:30 - 11:00,"Fore Hall,Hunter Hall West"
ENG5048_1,Intro to Wind Engineering,Mon,11/05/2015,09:30 - 11:30,Design Studio B (427B) James Watt Building
ENG2004_1,Analogue Electronics 2,Mon,11/05/2015,14:00 - 16:00,"Design Studio A (427A) James Watt Building,Design Studio B (427B) James Watt Building"
ENG5299_1,Dynamics M5,Tue,12/05/2015,09:30 - 11:00,Design Studio A (427A) James Watt Building
ENG2078_1,Environmental Processes 2,Tue,12/05/2015,09:30 - 11:30,Design Studio B (427B) James Watt Building
ENG5066_1,Optical Communications,Tue,12/05/2015,09:30 - 11:30,Design Studio B (427B) James Watt Building
ENG5280_1,Turbulent Flows 5,Wed,13/05/2015,09:30 - 11:30,Design Studio A (427A) James Watt Building
ENG4104_1,Power Systems 4,Wed,13/05/2015,09:30 - 11:30,Design Studio A (427A) James Watt Building
ENG5029_1,Electrical Energy Systems,Wed,13/05/2015,09:30 - 11:30,Design Studio A (427A) James Watt Building
ENG5282_1,Scaffolds and Tissues M,Wed,13/05/2015,09:30 - 11:30,Design Studio A (427A) James Watt Building
ENG4074_1,High Speed Aerodynamics 4,Wed,13/05/2015,09:30 - 11:30,Design Studio B (427B) James Watt Building
ENG2015_1,Design and Manufacture 2,Wed,13/05/2015,09:30 - 11:00,Kelvin Gallery
ENG5055_1,Micro and Nano Technology,Wed,13/05/2015,14:00 - 16:00,Design Studio A (427A) James Watt Building
ENG2025_1,Electronic Design Project 2,Thu,14/05/2015,09:30 - 10:30,Senate Room
ENG2082_1,Mechanics of Structures 2B,Thu,14/05/2015,09:30 - 11:30,Room 630 Rankine Building
ENG5250_1,Energy Conversion Systems M,Thu,14/05/2015,14:00 - 16:00,Design Studio B (427B) James Watt Building
ENG5009_1,Robust Control 5,Thu,14/05/2015,14:00 - 16:00,Design Studio B (427B) James Watt Building
ENG2011_1,Biomaterials 2,Fri,15/05/2015,09:30 - 11:00,Hunter Hall East
ENG3060_1,Flight Mechanics 3,Fri,15/05/2015,09:30 - 11:30,Randolph Hall
ENG2031_1,Engineering Electromagnetics 2,Fri,15/05/2015,09:30 - 11:30,Design Studio B (427B) James Watt Building
ENG5300_1,Materials Engineering M5,Fri,15/05/2015,14:00 - 15:00,Room 201 John McIntyre Bldg
ENG4023_1,Aircraft Vibra and Aeroelast 4,Fri,15/05/2015,14:00 - 16:00,Design Studio B (427B) James Watt Building
ENG5046_1,Introduction to Aeroelasticity,Fri,15/05/2015,14:00 - 16:00,Design Studio B (427B) James Watt Building
ENG4099_1,Microwave Elect and Opto Dev 4,Fri,15/05/2015,14:00 - 16:00,Design Studio B (427B) James Watt Building
ENG5261_1,Microwave Elec and Opto Devs M,Fri,15/05/2015,14:00 - 16:00,Design Studio B (427B) James Watt Building
ENG3073_1,Geotechnical Engineering 3,Mon,18/05/2015,09:30 - 11:30,Design Studio A (427A) James Watt Building
ENG3023_1,Electromag Compatibility 3,Mon,18/05/2015,09:30 - 11:30,Design Studio B (427B) James Watt Building
ENG3032_1,Heat Transfer M3,Mon,18/05/2015,09:30 - 11:00,"Room 629 Rankine Building,Room 630 Rankine Building"
ENG1022_1,Electronic Engineering 1Y,Mon,18/05/2015,14:00 - 16:00,"Design Studio B (427B) James Watt Building,Design Studio A (427A) James Watt Building"
ENG5278_1,Advanced Aerodynamics 5,Mon,18/05/2015,14:00 - 16:00,Sir Charles Wilson Building Seminar Rooms
