BIOL4003_1,Anatomy Adv Studies 4,Tue,12/05/2015,09:30 - 12:30,Room 208 John McIntyre Bldg
BIOL4086_1,Neuroscience Adv Studies 4,Tue,12/05/2015,09:30 - 12:30,O.T.C. Drill Hall
BIOL4095_1,Pharmacology Adv Studies 4,Tue,12/05/2015,09:30 - 12:30,O.T.C. Drill Hall
BIOL2009_1,Evolutionary Biology 2 (2b),Tue,12/05/2015,14:00 - 15:30,Hunter Hall East
BIOL2004_1,Cell&Tiss in Health&Dis 2 (8b),Wed,13/05/2015,09:30 - 11:00,Hunter Hall West
BIOL4052_2,Genetics 3B Paper 2,Wed,13/05/2015,09:30 - 11:30,Room 201 John McIntyre Bldg
BIOL4037_1,Digestion Absorpn & Nut Metab,Wed,13/05/2015,09:30 - 11:30,Room 208 John McIntyre Bldg
BIOL4010_2,Biochemistry 3B Paper 2,Wed,13/05/2015,09:30 - 11:30,Room 208 John McIntyre Bldg
BIOL4075_2,Molec & Cell Biol 3B Paper 2,Wed,13/05/2015,09:30 - 11:30,Room 201 John McIntyre Bldg
BIOL3008_2,Biomolec Sci 3B: M&CB Paper 2,Wed,13/05/2015,09:30 - 11:30,Room 201 John McIntyre Bldg
BIOL4078_1,Molec & Cell Bio Adv Studies 4,Wed,13/05/2015,14:00 - 17:00,Hunter Hall East
BIOL4011_1,Biochemistry Advanced Studies4,Wed,13/05/2015,14:00 - 17:00,Hunter Hall East
BIOL2038_1,Functional Anatomy (Semester2),Wed,13/05/2015,14:00 - 15:00,Room 201 John McIntyre Bldg
BIOL4053_1,Genetics Adv Studies 4,Wed,13/05/2015,14:00 - 17:00,Hunter Hall East
BIOL4056_1,Immunology 3A,Thu,14/05/2015,14:00 - 17:00,Design Studio A (427A) James Watt Building
BIOL4085_1,Neuroscience 3,Thu,14/05/2015,14:00 - 17:00,Hunter Hall West
BIOL4092_1,Pathogen Biology 3A,Thu,14/05/2015,14:00 - 17:00,Design Studio A (427A) James Watt Building
BIOL2020_1,Phys Prin Bio Process 2 (16b),Thu,14/05/2015,14:00 - 15:30,Hunter Hall East
BIOL3010_1,Infection Biology 3A,Thu,14/05/2015,14:00 - 17:00,Design Studio A (427A) James Watt Building
BIOL4002_1,Anatomy 3,Thu,14/05/2015,14:00 - 17:00,Hunter Hall West
BIOL3014_1,Physiology D3,Thu,14/05/2015,14:00 - 17:00,Hunter Hall West
BIOL4094_1,Pharmacology 3,Thu,14/05/2015,14:00 - 17:00,Hunter Hall West
BIOL4104_1,Physiology 3,Thu,14/05/2015,14:00 - 17:00,Hunter Hall West
BIOL4108_1,Physiology & Sports Science 3B,Thu,14/05/2015,14:00 - 17:00,Hunter Hall West
BIOL3016_1,Sports Science 3B,Thu,14/05/2015,14:00 - 17:00,Hunter Hall West
BIOL1010_1,Environmental Biology 1,Mon,18/05/2015,09:30 - 11:30,Hunter Hall West
BIOL2011_1,Extreme Biology 2 (15b),Mon,18/05/2015,14:00 - 15:30,Hunter Hall West
BIOL4093_1,Pathogen of Infect Disease 3B,Tue,19/05/2015,09:30 - 12:30,Fore Hall
BIOL4057_1,Immunology 3B Paper 1,Tue,19/05/2015,09:30 - 12:30,Fore Hall
BIOL3011_1,Infection Biology 3B,Tue,19/05/2015,09:30 - 12:30,Fore Hall
BIOL2006_1,Ecology & Conservation 2 (1c),Wed,20/05/2015,09:30 - 11:30,Hunter Hall East
BIOL4057_2,Immunology 3B Paper 2,Thu,21/05/2015,09:30 - 11:00,Bute Hall
