MATHS4073_1,Analysis of Differ and Integr,Mon,18/05/2015,09:30 - 11:00,Room 201 John McIntyre Bldg
MATHS3022_1,MATHS 3T,Mon,18/05/2015,09:30 - 11:00,Room 201 John McIntyre Bldg
MATHS4108_1,4H: Number Theory,Mon,18/05/2015,14:00 - 15:30,Hunter Hall West
STATS5021_1,Multivariate Methods (Level M),Mon,18/05/2015,14:00 - 15:30,Hunter Hall West
STATS4046_1,Multivariate Methods,Mon,18/05/2015,14:00 - 15:30,Hunter Hall West
STATS2006_1,Statistics 2Y,Mon,18/05/2015,14:00 - 15:30,Fore Hall
STATS5053_1,Financial Stats (M),Tue,19/05/2015,09:30 - 11:00,Kelvin Gallery
STATS4010_1,Financial Stats 4,Tue,19/05/2015,09:30 - 11:00,Kelvin Gallery
MATHS4103_1,4H: Functional Analysis,Tue,19/05/2015,14:00 - 17:00,O.T.C. Drill Hall
MATHS5053_1,5M: Solitons,Tue,19/05/2015,14:00 - 17:00,Rm 253 Gilbert Scott Conference Suite
MATHS5049_1,5M: Lie Theory,Tue,19/05/2015,14:00 - 17:00,Rm 253 Gilbert Scott Conference Suite
MATHS5069_1,5E: Functional Analysis,Tue,19/05/2015,14:00 - 17:00,O.T.C. Drill Hall
STATS4008_1,Design 3,Wed,20/05/2015,09:30 - 11:00,Bute Hall
STATS5017_1,Statistical Investigations (M),Wed,20/05/2015,09:30 - 11:00,Bute Hall
STATS1010_1,Statistics 1A,Wed,20/05/2015,14:00 - 16:00,Kelvin Gallery
STATS5026_1,Stochastic Processes (Level M),Wed,20/05/2015,14:00 - 15:30,Hunter Hall East
STATS4024_1,Stochastic Processes 4,Wed,20/05/2015,14:00 - 15:30,Hunter Hall East
MATHS4077_1,Metric Spaces & Basic Topology,Thu,21/05/2015,09:30 - 12:30,Senate Room
STATS4009_1,Environmental Statistics 4,Thu,21/05/2015,14:00 - 15:30,Hunter Hall East
STATS1003_1,Statistics 1Z,Thu,21/05/2015,14:00 - 16:00,Bute Hall
STATS5031_1,Environmental Stats (Level M),Thu,21/05/2015,14:00 - 15:30,Hunter Hall East
MATHS4105_1,4H: Galois Theory,Thu,21/05/2015,14:00 - 15:30,Room 208 John McIntyre Bldg
STATS5028_1,Statistical Inference: Level M,Fri,22/05/2015,09:30 - 11:00,Randolph Hall
MATHS5054_1,5M: Special Relativity,Fri,22/05/2015,09:30 - 12:30,Sir Charles Wilson Building Seminar Rooms
STATS2005_1,Statistics 2X,Fri,22/05/2015,09:30 - 11:00,Randolph Hall
MATHS5048_1,5M: Further Group Theory,Fri,22/05/2015,14:00 - 17:00,Randolph Hall
MATHS4107_1,4H: Mathematical Physics,Fri,22/05/2015,14:00 - 15:30,Senate Room
STATS5012_1,Spatial Statistics (Level M),Fri,22/05/2015,14:00 - 15:30,Senate Room
