HISP5031_1,Catalan Adv. Translation 2,Wed,20/05/2015,09:30 - 11:00,Bute Hall
CZECH5004_1,Czech for SocSci (Intermed),Wed,20/05/2015,09:30 - 11:30,Room 201 John McIntyre Bldg
POLISH4008_1,Subsid Polish Lang (Intermed),Wed,20/05/2015,09:30 - 11:30,Room 201 John McIntyre Bldg
HISP2010_1,Spanish Culture 2,Wed,20/05/2015,09:30 - 11:30,Room 201 John McIntyre Bldg
HISP4006_1,Catalan 2,Wed,20/05/2015,14:00 - 15:30,Hunter Hall West
ITALIAN4047_1,Italian Hons Written(Sen) Pr1,Wed,20/05/2015,14:00 - 16:00,Kelvin Gallery
ITALIAN2011_1,Italian Language 2,Wed,20/05/2015,14:00 - 16:00,Kelvin Gallery
FRENCH3001_1,French 3,Thu,21/05/2015,09:30 - 11:30,Hunter Hall West
FRENCH3002_1,French Language 3,Thu,21/05/2015,09:30 - 11:30,Hunter Hall West
RUSSIAN4034_2,Russian Hons Written (Sen) Pr2,Thu,21/05/2015,09:30 - 11:30,Hunter Hall West
ITALIAN1004_1,Italian Language 1 (Beginners),Thu,21/05/2015,14:00 - 16:00,Room 201 John McIntyre Bldg
ITALIAN5009_1,PG BEGINNER ITALIAN 2,Thu,21/05/2015,14:00 - 16:00,Room 201 John McIntyre Bldg
POLISH1001_1,Polish 1,Thu,21/05/2015,14:00 - 16:00,Room 201 John McIntyre Bldg
POLISH5022_1,English_Polish Translation 2,Thu,21/05/2015,14:00 - 15:30,Room 208 John McIntyre Bldg
ITALIAN5009_1,PG BEGINNER ITALIAN 2,Thu,21/05/2015,14:00 - 16:00,Room 201 John McIntyre Bldg
POLISH5005_1,Polish for SocSci (Begs),Thu,21/05/2015,14:00 - 16:00,Room 201 John McIntyre Bldg
GERMAN5010_1,PG BEGINNER GERMAN 2,Fri,22/05/2015,09:30 - 11:30,Hunter Hall West
HISP4060_1,Honours Portuguese Language 1,Fri,22/05/2015,09:30 - 11:30,Hunter Hall West
GERMAN1003_1,German Language 1 (Beginners),Fri,22/05/2015,09:30 - 11:30,Hunter Hall West
GERMAN1004_1,German Language 1 (Non_Begs),Fri,22/05/2015,09:30 - 11:30,Hunter Hall West
HISP1002_1,Portuguese Language 1,Fri,22/05/2015,09:30 - 11:30,Hunter Hall West
HISP4093_2,Spanish Hon Subs(Non_Arts) Pr2,Fri,22/05/2015,14:00 - 16:00,Hunter Hall East
FRENCH1004_1,French Culture 1 (Non_Begs),Fri,22/05/2015,14:00 - 16:00,Hunter Hall East
HISP4090_2,Spanish Hons Written(Sen) Pr 2,Fri,22/05/2015,14:00 - 16:00,Hunter Hall East
