PHYS5037_1,Environmental Radioactivity,Mon,27/04/2015,09:30 - 11:00,Room 220/220a Kelvin Building
ASTRO4010_1,AB01H Inst Opt & Radio Ast,Mon,27/04/2015,09:30 - 11:30,Randolph Hall
PHYS4031_1,P302H Waves & Diffraction,Mon,27/04/2015,14:00 - 15:30,"Gym St. Andrews Building,Room 237 St Andrew's Building"
PHYS4026_1,P418H Quantum Theory,Tue,28/04/2015,09:30 - 11:00,"Rooms 323 & 324 Kelvin Building,Room 220/220a Kelvin Building"
PHYS4017_1,P309H Numerical Methods,Tue,28/04/2015,09:30 - 11:00,Fore Hall
PHYS5002_1,P421M Frontiers of Optics,Wed,29/04/2015,14:00 - 15:30,Rooms 323 & 324 Kelvin Building
PHYS4004_1,P306H Electromagnetic Theory 1,Wed,29/04/2015,14:00 - 15:30,"Randolph Hall,Fore Hall"
ASTRO2001_1,Astronomy 2,Thu,30/04/2015,09:30 - 11:30,Sir Charles Wilson Building Seminar Rooms
PHYS4018_1,P404H Particle Physics,Thu,30/04/2015,09:30 - 11:00,Room 220/220a Kelvin Building
ASTRO5002_1,AB12M Pulsars & Supernovae,Thu,30/04/2015,09:30 - 11:30,Rooms 323 & 324 Kelvin Building
PHYS1002_1,Physics 1 (Half),Thu,30/04/2015,09:30 - 11:00,Fore Hall
PHYS1001_1,PHYSICS 1 PAPER 1,Thu,30/04/2015,09:30 - 11:00,"Fore Hall,Kelvin Gallery"
PHYS4015_1,P402H Nuclear & Particle Phys,Thu,30/04/2015,14:00 - 15:30,"Design Studio A (427A) James Watt Building,Design Studio B (427B) James Watt Building"
PHYS4006_1,P416H Energy & Environment,Fri,01/05/2015,09:30 - 11:00,"Room 220/220a Kelvin Building,Rooms 323 & 324 Kelvin Building"
PHYS5038_1,Nuclear Power Reactors,Fri,01/05/2015,14:00 - 15:30,Rooms 323 & 324 Kelvin Building
PHYS5016_1,P412M Statistical Mechanics,Tue,05/05/2015,09:30 - 11:00,Room 220/220a Kelvin Building
PHYS4011_1,P301H Mathematical Methods 1,Tue,05/05/2015,09:30 - 11:00,"Western Infirmary LT Seminar Room 112,Western Infirmary LT Foyer Area,Western Infirmary LT Seminar Room 114"
PHYS4005_1,P408H Electronic Signals Trans,Tue,05/05/2015,14:00 - 15:30,Room 220/220a Kelvin Building
ASTRO4007_1,AB04H Exploring Planetary Sys,Tue,05/05/2015,14:00 - 16:00,Rooms 323 & 324 Kelvin Building
PHYS5039_1,Quantum Information,Wed,06/05/2015,09:30 - 11:00,Room 220/220a Kelvin Building
PHYS4016_1,P405H Nuclear Physics,Thu,07/05/2015,09:30 - 11:00,Randolph Hall
ASTRO1004_1,Exploring the Cosmos 1Y,Thu,07/05/2015,14:00 - 16:00,"Hunter Hall West,Hunter Hall East"
PHYS4003_1,P303H Circuits & Systems,Thu,07/05/2015,14:00 - 15:30,"Room 220/220a Kelvin Building,Rooms 323 & 324 Kelvin Building"
PHYS4012_1,P409H Mathematical Methods 2,Thu,07/05/2015,14:00 - 15:30,"Fore Hall,Rm 250 Gilbert Scott Conference Suite"
PHYS2003_1,Physics 2T: Prog Under Linux,Fri,08/05/2015,14:00 - 15:00,Gym St. Andrews Building
PHYS5004_1,"P414M Dyn, Electrodyn & Rel",Fri,08/05/2015,14:00 - 15:30,Room 220/220a Kelvin Building
