HISTART4067_1,Historical Dress,Mon,27/04/2015,09:30 - 11:30,Rm 253 Gilbert Scott Conference Suite
HISTART4063_1,Forgeries,Mon,27/04/2015,14:00 - 17:00,O.T.C. Drill Hall
HISTART4057_1,Arts of the Song Dynasty,Tue,05/05/2015,09:30 - 11:30,Design Studio B (427B) James Watt Building
HISTART4040_1,"Apocalypse, Anti_Christ&End of",Wed,06/05/2015,09:30 - 11:30,Sir Charles Wilson Building Seminar Rooms
HISTART4031_1,Methodology of Art History,Thu,07/05/2015,14:00 - 16:00,Hunter Hall East
HISTART4044_1,"Women, Art and Audience",Fri,08/05/2015,09:30 - 11:30,Rooms 323 & 324 Kelvin Building
HISTART4001_1,Albrecht Durer,Fri,08/05/2015,14:00 - 16:00,Randolph Hall
HISTART4046_1,Georgian Landscapes,Thu,14/05/2015,14:00 - 16:00,Design Studio B (427B) James Watt Building
THEATRE1002_1,Theatre Studies 1:Theatre &Soc,Fri,15/05/2015,09:30 - 10:30,Hunter Hall West
HISTART4066_1,Kirchner Picasso Pollock,Fri,15/05/2015,14:00 - 17:00,Room 208 John McIntyre Bldg
HISTART4064_1,European Symbolism,Fri,15/05/2015,14:00 - 16:00,Hunter Hall East
HISTART4056_1,The Renaissance Palace,Mon,18/05/2015,09:30 - 12:30,Randolph Hall
HISTART1003_1,History of Art 1 Half Course,Tue,19/05/2015,14:00 - 15:30,Bute Hall
HISTART1001_1,History of Art 1 Paper 2,Tue,19/05/2015,14:00 - 15:30,Bute Hall
HISTART4016_1,Dada and Surrealism,Wed,20/05/2015,09:30 - 12:30,Fore Hall
FTV1010_1,FTV1B: Key Moments,Thu,21/05/2015,09:30 - 11:00,Bute Hall
HISTART4025_1,Humanism and The Rinascita,Thu,21/05/2015,14:00 - 17:00,Randolph Hall
HISTART2001_1,History of Art 2 Paper 2,Fri,22/05/2015,09:30 - 11:00,Room 201 John McIntyre Bldg
HISTART2005_1,History of Art 2B,Fri,22/05/2015,09:30 - 11:00,Room 201 John McIntyre Bldg
HISTART4011_1,Artists and the Art Market,Fri,22/05/2015,14:00 - 16:00,Hunter Hall West
