GEOG5012_1,Geodesy & GNSS,Mon,27/04/2015,10:00 - 11:30,Geography Room
EARTH4018_1,Micropalaeontology,Mon,27/04/2015,14:00 - 15:00,Room 308 Gregory Building
GEOG5082_1,Pop & Stat mapping,Tue,28/04/2015,10:00 - 11:30,Geography Room
GEOG5014_1,Hydrographic Survey,Tue,28/04/2015,10:00 - 11:30,Geography Room
GEOG4084_1,Geographies of Development,Wed,29/04/2015,09:30 - 11:00,Gym St. Andrews Building
EARTH4016_1,Major Earth Processes,Wed,29/04/2015,09:30 - 11:30,"Room 308 Gregory Building,Room 309 Gregory Building"
EARTH4025_1,Structural Geology,Wed,29/04/2015,14:00 - 15:00,"Room 308 Gregory Building,Room 309 Gregory Building"
GEOG5015_1,Internet and Mobile GIS,Thu,30/04/2015,10:00 - 11:30,Geography Room
GEOG5007_1,Engineering Survey,Thu,30/04/2015,10:00 - 11:30,Geography Room
EARTH4009_1,Geophysics,Fri,01/05/2015,09:30 - 10:30,"Room 308 Gregory Building,Room 309 Gregory Building"
EARTH4006_1,Engineering Earth Science,Fri,01/05/2015,14:00 - 15:00,"Room 308 Gregory Building,Room 309 Gregory Building"
EARTH4026_1,Tectonic Geomorphology,Tue,05/05/2015,09:30 - 10:30,"Room 308 Gregory Building,Room 309 Gregory Building"
GEOG4083_1,Embodied Social Geographies,Thu,07/05/2015,09:30 - 11:00,Room 237 St Andrew's Building
EARTH1002_1,Earth Science 1Y: Evolution,Fri,08/05/2015,14:00 - 15:30,"Rm 355 Gilbert Scott Conference Suite,Hunter Hall East"
GEOG1001_1,Geography 1,Tue,12/05/2015,09:30 - 11:00,Bute Hall
GEOG4062_1,Geographical Info Systems,Tue,12/05/2015,14:00 - 15:00,Room 629 Rankine Building
EARTH4005_1,Economic Minerals,Wed,13/05/2015,09:30 - 11:30,"Room 309 Gregory Building,Room 308 Gregory Building"
GEOG4095_1,Comparative Global Urbanism,Wed,13/05/2015,14:00 - 15:30,Senate Room
GEOG4086_1,Landscape and Culture,Thu,14/05/2015,09:30 - 11:00,Fore Hall
GEOG4087_1,The Last Glacial Cycle,Fri,15/05/2015,14:00 - 15:00,Room 201 John McIntyre Bldg
GEOG2001_1,Geography 2,Tue,19/05/2015,09:30 - 11:30,Hunter Hall East
EARTH4022_1,Petroleum Geology,Tue,19/05/2015,14:00 - 15:00,Room 308 Gregory Building
EARTH2002_1,Earth Science 2Q:Palaeobiol,Thu,21/05/2015,14:00 - 15:00,Kelvin Gallery
EARTH2004_1,Earth Science 2U:Structure,Fri,22/05/2015,14:00 - 15:00,Bute Hall
